,id,time,link,message,like,share,comment,commentsHighlight
0,1282973728458676_2098921463530561,1553212800,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2098921273530580/?type=3,โปรแกรมน่าสนใจจากช่อง3 วันศุกร์ที่ 22 มีนาคม 2562 ดูเพิ่มเติมได้ที่ www.ch3thailand.com #Ch3Thailand #ช่อง33 #ช่อง28 #ช่อง13 #ซีรีส์ลูกผู้ชาย #ปัทม์ #กลลวงทวงหนี้รัก #มัจจุราชสีน้ำผึ้ง #แจ๋วแฟมิลี่ #หนังดังวันศุกร์,78,0,0,"Empty DataFrame
Columns: []
Index: []"
1,1282973728458676_2098917640197610,1553208000,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2098917000197674/?type=3,ตารางออกอากาศ ประจำวันศุกร์ที่ 22 มีนาคม 2562 ของ #ช่อง33 ติดตามผังรายการช่อง3 เพิ่มเติมที่ http://bit.ly/2ivQ6sP #Ch3Thailand #ผังรายการช่อง33 #ช่อง3,55,0,0,"Empty DataFrame
Columns: []
Index: []"
2,1282973728458676_2098916670197707,1553207700,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2098916190197755/?type=3,ตารางออกอากาศ ประจำวันศุกร์ที่ 22 มีนาคม 2562 ของ #ช่อง28 ติดตามผังรายการช่อง3 เพิ่มเติมที่ http://bit.ly/2ivQ6sP #Ch3Thailand #ผังรายการช่อง28 #ช่อง3,20,0,0,"Empty DataFrame
Columns: []
Index: []"
3,1282973728458676_2098915520197822,1553207401,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2098915036864537/?type=3,ตารางออกอากาศ ประจำวันศุกร์ที่ 22 มีนาคม 2562 ของ #ช่อง13 ติดตามผังรายการช่อง3 เพิ่มเติมที่ http://bit.ly/2ivQ6sP #Ch3Thailand #ผังรายการช่อง13 #ช่อง3,13,1,0,"Empty DataFrame
Columns: []
Index: []"
4,1282973728458676_2098630350226339,1553178758,https://www.facebook.com/CH3Thailand/videos/320544388820408/,"""มีอะไรค่อยๆ พูด ค่อยๆ จากัน"" ติดตาม #รักจังเอย ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand",383,17,9,"                                                  id        time  \
0  Y29tbWVudDoyMDk4NjMwMzUwMjI2MzM5XzIwOTkxOTQ0MD...  1553213939   
1  Y29tbWVudDoyMDk4NjMwMzUwMjI2MzM5XzIwOTkxNjE0NT...  1553211696   

                                             message  like  
0  สนุกจนหลับคาทีวีเลย ที่ดู  เพราะมีอ้วนรังสิตกั...     0  
1                      อยากเตะพี่เต๋อ กวนน่ารักดี555     1  "
5,1282973728458676_2098603893562318,1553177327,https://www.facebook.com/CH3Thailand/videos/339373803358969/,"""มายืนซะติดเชียว หลบๆ หน่อยก็ได้มั้ง"" ติดตาม #รักจังเอย ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand",473,17,11,"                                                  id        time  \
0  Y29tbWVudDoyMDk4NjAzODkzNTYyMzE4XzIwOTkxODUyOT...  1553213283   
1  Y29tbWVudDoyMDk4NjAzODkzNTYyMzE4XzIwOTkxNjQ4Nj...  1553211907   

                                             message  like  
0                     เป็นอีกหนึ่งเรื่องที่ต้องดู😂😂😂     0  
1  แต้ว น่ารัก ร้ายหน่อยๆ ต่อไปไปอยู่ท่าสำเริงแล้...     0  "
6,1282973728458676_2098409730248401,1553174401,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2098408143581893/?type=3,เตรียมตัวรับความฮา ชาวบ้านท่าสำเริงจัดหนักให้แน่นอนค่ะ ติดตาม #รักจังเอย ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand,691,45,18,"Empty DataFrame
Columns: []
Index: []"
7,1282973728458676_2098424383580269,1553173202,https://www.facebook.com/CH3Thailand/videos/403966490152980/,จุดเริ่มต้นเรื่องราววุ่นๆ ระหว่าง หมอเอย ผู้ใหญ่บ้านดำรง และชาวบ้านท่าสำเริง จะเป็นอย่างไร คืนนี้ ติดตาม #รักจังเอย (ตอนแรก) เวลา 20.20 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,382,22,3,"                                                  id        time  \
0  Y29tbWVudDoyMDk4NDI0MzgzNTgwMjY5XzIwOTkxNjU0OT...  1553211951   
1  Y29tbWVudDoyMDk4NDI0MzgzNTgwMjY5XzIwOTg1ODM0OD...  1553176235   

                                             message  like  
0                      ได้ความรูเรื่องหมออีก IT CITY     0  
1  กลีบมาเล่นเป็นแม่ลูกกันอีกแล้วสำหรับ แต้ว นัฐพ...     0  "
8,1282973728458676_2098404180248956,1553171401,https://www.facebook.com/CH3Thailand/posts/2098404180248956,แค่เริ่มเรื่องก็วุ่นวายซะแล้ว ผู้ใหญ่บ้านดำรงไปก่อเรื่องอะไร และหมอเอยมาช่วยได้ยังไง คืนนี้ ติดตาม รักจังเอย (ตอนแรก) เวลา 20.20 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,1778,26,21,"                                                  id        time  \
0  Y29tbWVudDoyMDk4NDA0MTgwMjQ4OTU2XzIwOTkxNjYyND...  1553211994   
1  Y29tbWVudDoyMDk4NDA0MTgwMjQ4OTU2XzIwOTg5MDM1NT...  1553194549   

              message  like  
0  พี่เต๋อ กวนน่ารัก.     1  
1   ตอนแรกก็สนุกล่ะ😁😁     1  "
9,1282973728458676_2098342423588465,1553169601,https://www.facebook.com/CH3Thailand/posts/2098342423588465,เรื่องราววุ่นๆ ในบ้านท่าสำเริงจะเป็นอย่างไร จะสนุกสนานและฮาแค่ไหน http://www.ch3thailand.com/news/scoop/16351 คืนนี้ ติดตาม #รักจังเอย เวลา 20.20 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,382,12,4,"                                                  id        time  \
0  Y29tbWVudDoyMDk4MzQyNDIzNTg4NDY1XzIwOTkxNjgzOD...  1553212140   

          message  like  
0  หมอยาท่าสำเริง     1  "
