,v1,v2,corr
0,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,6Y: มูลค่าพาณิชย์อิเล็กทรอนิกส์สาขาการขนส่งและโลจิสติกส์ เพิ่มขึ้นเฉลี่ย ร้อยละ 10 ต่อปี,0.9483929588568575
1,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,10Y: ปริมาณการปล่อยก๊าซคาร์บอนไดออกไซค์สาขาการขนส่งลดลงร้อยละ 5-10 ภายในปี 2564,-0.308642095657951
2,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,11.1Y: สัดส่วนการขนส่งสินค้าทางรางเพิ่มขึ้นเป็น 4% ภายในปี 2564,0.5791051148447063
3,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,11.2Y: สัดส่วนการขนส่งทางน้ำเพิ่มขึ้นเป็น 15% ภายในปี 2564,-0.07956620102719544
4,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,12Y: ปริมาณการขนส่งต่อเนื่องหลายรูปแบบ (Multimodal Transportation) เพิ่มขึ้นเฉลี่ย 5% ต่อปี*,0.22442269299946963
5,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,20.1Y: รายได้ประชาชาติการขยายตัวของ GDP และการกระจายรายได้ (รายได้ประชาชาติ),-0.9720710474037444
6,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,20.2Y: รายได้ประชาชาติการขยายตัวของ GDP และการกระจายรายได้  (การขยายตัวของ GDP),-0.6490809750000127
7,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,20.3Y: รายได้ประชาชาติการขยายตัวของ GDP และการกระจายรายได้ (การกระจายรายได้),0.7259598517032473
8,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,22Y: การลงทุนเพื่อการวิจัยและพัฒนา (มูลค่าการลงทุนเพื่อการวิจัยและพัฒนา),-0.9557968911294893
9,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,24Y: สัดส่วนการใช้พลังงานขั้นสุดท้ายต่อผลิตภัณฑ์มวลรวมในประเทศ (ค่าความเข้มการใช้พลังงานขั้นสุดท้าย) สัดส่วนการใช้พลังงานขั้นสุดท้ายต่อผลิตภัณฑ์มวลรวมในประเทศลดลงจาก 8.22 เป็น 7.70 พันตันเทียบเท่าน้ามันดิบ/พันล้านบาท ในปี 2564,0.7941376833160639
10,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,27Y: สัดส่วนการใช้พลังงานทดแทนต่อปริมาณการใช้พลังงานขั้นสุดท้ายเพิ่มขึ้นจากร้อยละ 12.94 เป็นร้อยละ 17.34 ในปี 2564,-0.9521557915316043
11,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,28Y: สัดส่วนการใช้ก๊าซธรรมชาติในการผลิตไฟฟ้าลดลงจากร้อยละ  65 เป็นร้อยละ 47 ใน ปี 2564,0.8891022239695563
12,2Y: สัดส่วนต้นทุนโลจิสติกส์ของประเทศไทยต่อผลิตภัณฑ์มวลรวมในประเทศ ลดลงเป็นร้อยละ 12 ในปี 2564,37Y: อัตราผู้เสียชีวิตจากอุบัติเหตุทางถนน (คนต่อประชากร 1 แสนคน) ,0.3540328534141086
